timestamp,t_kiln,temp_c,sp_c,output_pct,pid_profile
1783288839.72,0.00,193.14,200.00,0.00,TEMPER
1783288840.91,1.19,193.27,200.00,100.00,TEMPER
1783288841.97,2.36,193.32,200.00,100.00,TEMPER
1783288843.15,3.44,193.36,200.00,100.00,TEMPER
1783288844.32,4.61,193.48,200.00,100.00,TEMPER
1783288845.50,5.79,193.56,200.00,100.00,TEMPER
1783288846.60,6.96,193.67,200.00,100.00,TEMPER
1783288847.77,8.06,193.78,200.00,100.00,TEMPER
1783288848.85,9.23,193.96,200.00,100.00,TEMPER
1783288849.98,10.31,194.07,200.00,100.00,TEMPER
1783288851.16,11.45,194.19,200.00,100.00,TEMPER
1783288852.35,12.64,194.35,200.00,100.00,TEMPER
1783288853.53,13.81,194.51,200.00,100.00,TEMPER
1783288854.70,14.99,194.67,200.00,100.00,TEMPER
1783288855.79,16.16,194.81,200.00,100.00,TEMPER
1783288856.97,17.25,195.07,200.00,85.95,TEMPER
1783288858.14,18.42,195.34,200.00,71.59,TEMPER
1783288859.32,19.61,195.46,200.00,80.16,TEMPER
1783288860.43,20.78,195.76,200.00,59.26,TEMPER
1783288861.61,21.89,195.82,200.00,74.17,TEMPER
1783288862.78,23.06,196.03,200.00,65.91,TEMPER
1783288863.96,24.25,196.17,200.00,68.01,TEMPER
1783288865.08,25.42,196.45,200.00,46.95,TEMPER
1783288866.26,26.54,196.63,200.00,39.80,TEMPER
1783288867.43,27.72,196.84,200.00,27.85,TEMPER
1783288868.61,28.90,197.11,200.00,5.57,TEMPER
1783288869.74,30.07,197.29,200.00,0.00,TEMPER
1783288870.92,31.20,197.50,200.00,0.00,TEMPER
1783288871.97,32.38,197.69,200.00,0.00,TEMPER
1783288873.15,33.43,197.84,200.00,0.00,TEMPER
1783288874.33,34.61,198.03,200.00,0.00,TEMPER
1783288875.42,35.79,198.12,200.00,0.31,TEMPER
1783288876.59,36.88,198.20,200.00,0.61,TEMPER
1783288877.77,38.06,198.27,200.00,2.79,TEMPER
1783288878.94,39.23,198.39,200.00,0.00,TEMPER
1783288879.98,40.41,198.53,200.00,0.00,TEMPER
1783288881.16,41.44,198.58,200.00,2.23,TEMPER
1783288882.34,42.62,198.70,200.00,0.00,TEMPER
1783288883.52,43.81,198.81,200.00,0.00,TEMPER
1783288884.61,45.00,198.98,200.00,0.00,TEMPER
1783288885.79,46.07,199.03,200.00,0.06,TEMPER
1783288886.97,47.25,199.18,200.00,0.00,TEMPER
1783288888.14,48.43,199.34,200.00,0.00,TEMPER
1783288889.26,49.61,199.39,200.00,0.00,TEMPER
1783288890.43,50.71,199.45,200.00,0.00,TEMPER
1783288891.61,51.89,199.50,200.00,0.00,TEMPER
1783288892.78,53.06,199.59,200.00,0.00,TEMPER
1783288893.90,54.24,199.63,200.00,0.00,TEMPER
1783288895.08,55.36,199.68,200.00,0.00,TEMPER
1783288896.26,56.54,199.77,200.00,0.00,TEMPER
1783288897.43,57.71,199.86,200.00,0.00,TEMPER
1783288898.54,58.89,199.92,200.00,0.00,TEMPER
